material_type,moisture_resistance_score,thermal_resistance_score,Load Handling Score,CO2 Emission per kg (estimated),Biodegradation Time (days),Reusability (%),Recyclability Category,supplier_sustainability_compliance_pct,Waste Reduction Impact (%),Sustainability Target Progress (%),Cost per Unit (USD),Annual Usage (units),Total Material Weight (tons),CII,CEI,MSS
Cardboard,4.0,4.0,5.0,0.5,291.0,53.0,High,85.0,60.0,93.0,2.81,97201.0,880.0,51.59775587650129,6.718429850102449,44.14414414414414
Plastic,8.0,6.0,7.0,1.5,25244.0,96.0,Medium,86.0,78.0,82.0,14.41,49673.0,995.0,10.923870762679243,0.6533600565522841,86.1861861861862
Cardboard,3.0,5.0,6.0,0.53,169.0,46.0,High,90.0,60.0,87.0,2.82,96624.0,825.0,48.22857197241555,6.691712542776374,39.939939939939954
Plastic,7.0,6.0,9.0,1.48,33532.0,97.0,Medium,97.0,82.0,91.0,14.4,51174.0,959.0,11.197698023809274,0.654380341880342,88.2882882882883
Cardboard,5.0,3.0,5.0,0.47,197.0,50.0,High,87.0,60.0,83.0,3.87,96646.0,743.0,55.53206116754969,4.654776747800003,42.34234234234234
Plastic,9.0,7.0,9.0,1.37,30911.0,95.0,Medium,95.0,81.0,85.0,14.68,52156.0,1010.0,12.848528812354573,0.6263377857383308,89.1891891891892
Cardboard,3.0,4.0,5.0,0.5,157.0,47.0,High,90.0,60.0,90.0,2.77,100871.0,847.0,51.68700091313556,6.8272281268671176,39.63963963963965
Plastic,7.0,7.0,7.0,1.42,40050.0,96.0,Medium,96.0,79.0,90.0,15.25,50106.0,1088.0,12.066256912339426,0.572433031449425,86.78678678678679
Cardboard,3.0,3.0,5.0,0.53,154.0,48.0,High,86.0,59.0,90.0,3.22,96860.0,862.0,48.24610899045798,5.759095976487281,38.73873873873875
Plastic,9.0,6.0,7.0,1.52,29304.0,93.0,Medium,93.0,81.0,83.0,15.11,51095.0,966.0,10.656792400570982,0.5852960187837752,87.0870870870871
Cardboard,4.0,4.0,5.0,0.5,332.0,51.0,High,84.0,60.0,86.0,2.94,102220.0,740.0,51.58484294940151,6.385281385281386,42.942942942942956
Plastic,7.0,7.0,8.0,1.48,42997.0,99.0,Medium,86.0,76.0,82.0,14.94,48860.0,978.0,11.19749827006849,0.6012394566611434,86.78678678678679
Cardboard,4.0,4.0,5.0,0.51,291.0,53.0,High,85.0,60.0,93.0,2.81,97201.0,880.0,50.40450507500587,6.718429850102449,44.14414414414414
Plastic,7.0,6.0,9.0,1.5,33532.0,97.0,Medium,97.0,82.0,91.0,14.4,51174.0,959.0,10.923572839681949,0.654380341880342,88.2882882882883
Cardboard,3.0,5.0,6.0,0.48,197.0,50.0,High,87.0,61.0,83.0,3.87,96646.0,743.0,54.183306937136,4.654776747800003,42.942942942942956
Plastic,8.0,7.0,8.0,1.46,76964.0,94.0,Medium,92.0,75.0,82.0,14.65,49673.0,998.0,11.478821410678297,0.62929107297708,84.08408408408408
Cardboard,3.0,3.0,5.0,0.51,169.0,46.0,High,90.0,62.0,87.0,2.82,96624.0,825.0,50.47998857901068,6.691712542776374,39.33933933933934
Plastic,8.0,7.0,8.0,1.43,25244.0,96.0,Medium,86.0,80.0,82.0,14.41,49673.0,995.0,11.916855695392211,0.6533600565522841,88.2882882882883
Cardboard,3.0,4.0,5.0,0.5,154.0,48.0,High,86.0,59.0,90.0,3.22,96860.0,862.0,51.690776398548515,5.759095976487281,39.63963963963965
Plastic,7.0,6.0,9.0,1.46,30911.0,95.0,Medium,95.0,79.0,85.0,14.68,52156.0,1010.0,11.479410429476875,0.6263377857383308,85.28528528528531
Cardboard,4.0,4.0,5.0,0.5,157.0,47.0,High,90.0,60.0,90.0,2.77,100871.0,847.0,51.68700091313556,6.8272281268671176,40.54054054054054
Plastic,8.0,7.0,8.0,1.42,40050.0,96.0,Medium,96.0,79.0,90.0,15.25,50106.0,1088.0,12.066256912339426,0.572433031449425,87.68768768768768
Cardboard,4.0,5.0,4.0,0.53,242.0,52.0,High,88.0,60.0,90.0,3.14,103063.0,782.0,48.174260358962975,5.926610544444939,44.44444444444445
Plastic,9.0,6.0,7.0,1.4,29304.0,93.0,Medium,93.0,81.0,83.0,15.11,51095.0,966.0,12.372651165879237,0.5852960187837752,87.0870870870871
Cardboard,4.0,4.0,5.0,0.52,291.0,53.0,High,85.0,59.0,93.0,2.81,97201.0,880.0,49.25714853510643,6.718429850102449,43.54354354354356
Plastic,7.0,7.0,9.0,1.47,33532.0,97.0,Medium,97.0,81.0,91.0,14.4,51174.0,959.0,11.337557811629338,0.654380341880342,88.58858858858858
Cardboard,3.0,3.0,5.0,0.5,332.0,51.0,High,84.0,60.0,86.0,2.94,102220.0,740.0,51.58484294940151,6.385281385281386,41.14114114114114
Plastic,7.0,7.0,7.0,1.52,42997.0,99.0,Medium,86.0,78.0,82.0,14.94,48860.0,978.0,10.656461722448775,0.6012394566611434,87.98798798798799
Cardboard,4.0,5.0,4.0,0.49,197.0,50.0,High,87.0,61.0,83.0,3.87,96646.0,743.0,52.889603899800406,4.654776747800003,43.84384384384385
Plastic,7.0,7.0,8.0,1.44,76964.0,94.0,Medium,92.0,83.0,82.0,14.65,49673.0,998.0,11.768280081132378,0.62929107297708,87.98798798798799
Cardboard,3.0,3.0,5.0,0.52,169.0,46.0,High,90.0,61.0,87.0,2.82,96624.0,825.0,49.33263203911124,6.691712542776374,38.73873873873875
Plastic,8.0,7.0,8.0,1.5,25244.0,96.0,Medium,86.0,80.0,82.0,14.41,49673.0,995.0,10.923870762679243,0.6533600565522841,88.2882882882883
Cardboard,3.0,4.0,6.0,0.51,154.0,48.0,High,86.0,60.0,90.0,3.22,96860.0,862.0,50.4975255970531,5.759095976487281,40.24024024024025
Plastic,7.0,6.0,9.0,1.54,30911.0,95.0,Medium,95.0,79.0,85.0,14.68,52156.0,1010.0,10.396759817908361,0.6263377857383308,85.28528528528531
Cardboard,4.0,4.0,5.0,0.53,157.0,47.0,High,90.0,60.0,90.0,2.77,100871.0,847.0,48.24233350504502,6.8272281268671176,40.54054054054054
Plastic,7.0,6.0,7.0,1.45,40050.0,96.0,Medium,96.0,79.0,90.0,15.25,50106.0,1088.0,11.622917007947006,0.572433031449425,85.8858858858859
Cardboard,3.0,5.0,6.0,0.51,242.0,52.0,High,88.0,63.0,90.0,3.14,103063.0,782.0,50.4256769655581,5.926610544444939,45.34534534534536
Plastic,9.0,7.0,7.0,1.46,29304.0,93.0,Medium,93.0,81.0,83.0,15.11,51095.0,966.0,11.479464411335211,0.5852960187837752,87.98798798798799
Cardboard,4.0,4.0,4.0,0.51,291.0,53.0,High,85.0,60.0,93.0,2.81,97201.0,880.0,50.40450507500587,6.718429850102449,44.14414414414414
Plastic,7.0,6.0,9.0,1.53,33532.0,97.0,Medium,97.0,82.0,91.0,14.4,51174.0,959.0,10.525822572516812,0.654380341880342,88.2882882882883
Cardboard,4.0,4.0,5.0,0.52,332.0,51.0,High,84.0,60.0,86.0,2.94,102220.0,740.0,49.24423560800666,6.385281385281386,42.942942942942956
Plastic,8.0,7.0,8.0,1.49,42997.0,99.0,Medium,86.0,78.0,82.0,14.94,48860.0,978.0,11.059515794836617,0.6012394566611434,88.88888888888891
Cardboard,5.0,3.0,5.0,0.48,197.0,50.0,High,87.0,61.0,83.0,3.87,96646.0,743.0,54.183306937136,4.654776747800003,42.942942942942956
Plastic,8.0,6.0,7.0,1.41,76964.0,94.0,Medium,92.0,75.0,82.0,14.65,49673.0,998.0,12.217864824603613,0.62929107297708,83.18318318318319
Cardboard,3.0,5.0,6.0,0.53,169.0,46.0,High,90.0,60.0,87.0,2.82,96624.0,825.0,48.22857197241555,6.691712542776374,39.939939939939954
Plastic,7.0,7.0,8.0,1.5,25244.0,96.0,Medium,86.0,80.0,82.0,14.41,49673.0,995.0,10.923870762679243,0.6533600565522841,87.3873873873874
Cardboard,3.0,4.0,6.0,0.5,154.0,48.0,High,86.0,60.0,90.0,3.22,96860.0,862.0,51.690776398548515,5.759095976487281,40.24024024024025
Plastic,7.0,6.0,7.0,1.46,30911.0,95.0,Medium,95.0,79.0,85.0,14.68,52156.0,1010.0,11.479410429476875,0.6263377857383308,85.28528528528531
Cardboard,4.0,4.0,5.0,0.51,157.0,47.0,High,90.0,61.0,90.0,2.77,100871.0,847.0,50.49375011164014,6.8272281268671176,41.14114114114114
Plastic,8.0,7.0,8.0,1.46,40050.0,96.0,Medium,96.0,79.0,90.0,15.25,50106.0,1088.0,11.479185806066358,0.572433031449425,87.68768768768768
Cardboard,3.0,5.0,6.0,0.52,242.0,52.0,High,88.0,63.0,90.0,3.14,103063.0,782.0,49.278320425658656,5.926610544444939,45.34534534534536
Plastic,9.0,7.0,7.0,1.53,29304.0,93.0,Medium,93.0,81.0,83.0,15.11,51095.0,966.0,10.52595349689824,0.5852960187837752,87.98798798798799
Cardboard,4.0,4.0,4.0,0.52,291.0,53.0,High,85.0,60.0,93.0,2.81,97201.0,880.0,49.25714853510643,6.718429850102449,44.14414414414414
Plastic,7.0,6.0,9.0,1.48,33532.0,97.0,Medium,97.0,81.0,91.0,14.4,51174.0,959.0,11.197698023809274,0.654380341880342,87.68768768768768
Cardboard,3.0,3.0,5.0,0.51,332.0,51.0,High,84.0,60.0,86.0,2.94,102220.0,740.0,50.391592147906096,6.385281385281386,41.14114114114114
Plastic,8.0,7.0,7.0,1.5,42997.0,99.0,Medium,86.0,78.0,82.0,14.94,48860.0,978.0,10.923373085941165,0.6012394566611434,88.88888888888891
Cardboard,5.0,4.0,5.0,0.48,197.0,50.0,High,87.0,61.0,83.0,3.87,96646.0,743.0,54.183306937136,4.654776747800003,43.84384384384385
Plastic,7.0,6.0,7.0,1.45,76964.0,94.0,Medium,92.0,83.0,82.0,14.65,49673.0,998.0,11.622552612558945,0.62929107297708,87.0870870870871
Cardboard,3.0,5.0,6.0,0.53,169.0,46.0,High,90.0,60.0,87.0,2.82,96624.0,825.0,48.22857197241555,6.691712542776374,39.939939939939954
Plastic,7.0,7.0,8.0,1.41,25244.0,96.0,Medium,86.0,78.0,82.0,14.41,49673.0,995.0,12.218674823876395,0.6533600565522841,86.1861861861862
Cardboard,3.0,3.0,5.0,0.51,154.0,48.0,High,86.0,60.0,90.0,3.22,96860.0,862.0,50.4975255970531,5.759095976487281,39.339339339339354
Plastic,7.0,6.0,9.0,1.52,30911.0,95.0,Medium,95.0,81.0,85.0,14.68,52156.0,1010.0,10.656738418712646,0.6263377857383308,86.48648648648648
Cardboard,4.0,4.0,5.0,0.51,157.0,47.0,High,90.0,61.0,90.0,2.77,100871.0,847.0,50.49375011164014,6.8272281268671176,41.14114114114114
Plastic,8.0,7.0,7.0,1.53,40050.0,96.0,Medium,96.0,80.0,90.0,15.25,50106.0,1088.0,10.525674891629386,0.572433031449425,88.2882882882883
Cardboard,4.0,4.0,5.0,0.51,242.0,52.0,High,88.0,60.0,90.0,3.14,103063.0,782.0,50.4256769655581,5.926610544444939,43.54354354354354
Plastic,7.0,6.0,9.0,1.38,29304.0,93.0,Medium,93.0,81.0,83.0,15.11,51095.0,966.0,12.68763973149138,0.5852960187837752,85.28528528528531
Cardboard,4.0,4.0,5.0,0.5,291.0,53.0,High,85.0,60.0,93.0,2.81,97201.0,880.0,51.59775587650129,6.718429850102449,44.14414414414414
Plastic,8.0,7.0,7.0,1.52,33532.0,97.0,Medium,97.0,82.0,91.0,14.4,51174.0,959.0,10.656661476189559,0.654380341880342,90.09009009009011
Cardboard,3.0,4.0,5.0,0.53,332.0,51.0,High,84.0,60.0,86.0,2.94,102220.0,740.0,48.140175541310974,6.385281385281386,42.04204204204205
Plastic,7.0,6.0,7.0,1.48,42997.0,99.0,Medium,86.0,78.0,82.0,14.94,48860.0,978.0,11.19749827006849,0.6012394566611434,87.0870870870871
Cardboard,4.0,4.0,5.0,0.47,197.0,50.0,High,87.0,61.0,83.0,3.87,96646.0,743.0,55.53206116754969,4.654776747800003,42.942942942942956
Plastic,7.0,7.0,9.0,1.46,76964.0,94.0,Medium,92.0,75.0,82.0,14.65,49673.0,998.0,11.478821410678297,0.62929107297708,83.18318318318319
Cardboard,3.0,3.0,5.0,0.5,169.0,46.0,High,90.0,62.0,87.0,2.82,96624.0,825.0,51.67323938050609,6.691712542776374,39.33933933933934
