recyclability_percent,recycled_content_percent,reusability_percent,biodegradation_time_days,end_of_life_disposal_percent,carbon_footprint_kg_co2_unit,co2_emission_per_kg_estimated,waste_reduction_impact_percent,sustainability_target_progress_percent,load_handling_score,moisture_resistance_score,thermal_resistance_score,cost_per_unit_usd,annual_usage_units,total_material_weight_tons,supplier_sustainability_compliance_percent,co2_impact_index,cost_efficiency_index,material_suitability_score,overall_sustainability_score,packaging_type,suitable_product_categories,recommended_packaging_use_cases,supplier_region,recyclability_category
77,29.0,8.0,60573.0,26.0,2.02,1.57,32.0,60.0,8.0,9.0,7.0,1.26,30357.0,211.0,70.0,46.91825276332028,72.66037296037295,77.77777777777777,52.97138846716209,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,APAC,Medium
95,50.0,96.0,22097.0,11.0,1.17,1.45,80.0,86.0,8.0,7.0,6.0,14.65,49673.0,995.0,86.0,55.2681857248843,69.65027195027193,66.66666666666666,76.59386500370951,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,EMEA,Medium
100,87.0,31.0,141.0,3.0,0.51,0.28,68.0,91.0,1.0,2.0,3.0,1.6,73892.0,525.0,85.0,87.35988520425822,83.49992229992229,11.11111111111111,85.97595982149038,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,LATAM,High
97,76.0,51.0,332.0,5.0,0.79,0.51,59.0,86.0,4.0,5.0,4.0,2.94,102220.0,740.0,84.0,79.04807725169208,83.99696969696969,37.03703703703703,79.31682703809221,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,APAC,High
96,77.0,47.0,152.0,5.0,0.79,0.5,60.0,86.0,6.0,5.0,3.0,3.06,99778.0,745.0,86.0,82.7608786369686,82.66386946386946,40.74074074074075,80.56630752293901,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,LATAM,High
87,48.0,96.0,33525.0,10.0,1.21,1.4,81.0,87.0,9.0,7.0,6.0,15.74,52785.0,1053.0,97.0,52.95894494399547,65.13294483294483,70.37037037037037,73.28563073039841,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,ROW,Medium
99,81.0,52.0,242.0,5.0,0.8,0.52,63.0,93.0,6.0,3.0,5.0,3.14,103063.0,782.0,88.0,80.95226311401291,84.40846930846931,40.74074074074075,81.88329208990453,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,LATAM,High
88,36.0,88.0,41490.0,12.0,0.9,1.48,74.0,84.0,7.0,7.0,7.0,12.7,60528.0,1117.0,86.0,51.90121251916069,69.73815073815074,66.66666666666666,71.16542438170625,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,AMERICAS,Medium
92,48.0,93.0,42939.0,11.0,1.14,1.4,77.0,88.0,9.0,7.0,7.0,14.61,48925.0,1033.0,98.0,54.13456172417021,68.22797202797204,74.07407407407406,74.24709660345957,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,ROW,Medium
95,77.0,48.0,275.0,5.0,0.92,0.52,65.0,88.0,6.0,4.0,5.0,3.18,100778.0,819.0,92.0,79.15132338624025,82.33076923076922,44.44444444444444,80.45296318518409,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EMEA,High
94,71.0,97.0,99557.0,8.0,3.58,3.13,83.0,73.0,9.0,9.0,9.0,25.68,19707.0,5063.0,94.0,30.436900984879312,48.12447552447552,88.88888888888889,68.45291534470775,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",APAC,High
78,30.0,8.0,64044.0,26.0,2.07,1.6,33.0,60.0,7.0,8.0,6.0,1.26,30357.0,211.0,70.0,46.74759798957092,72.96037296037296,66.66666666666666,53.561659296349816,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,APAC,Medium
98,77.0,53.0,153.0,5.0,0.8,0.51,62.0,84.0,5.0,5.0,4.0,2.83,101569.0,765.0,86.0,83.18873837166952,84.9106449106449,40.74074074074074,82.01605843008433,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EU,High
89,50.0,96.0,28329.0,10.0,1.2,1.37,79.0,85.0,9.0,9.0,7.0,15.75,47124.0,1030.0,95.0,54.19266679968568,65.71351981351981,81.48148148148148,73.81743337988999,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,AMERICAS,Medium
93,50.0,95.0,30911.0,10.0,1.07,1.48,81.0,86.0,7.0,7.0,6.0,14.68,52156.0,1010.0,95.0,53.79128721672421,68.79199689199689,62.96296296296296,75.67695052585347,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,AMERICAS,Medium
85,36.0,94.0,40250.0,12.0,0.96,1.48,74.0,78.0,9.0,9.0,6.0,11.84,60648.0,1118.0,96.0,51.040422802811406,71.70870240870242,77.77777777777777,69.81414798098399,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,APAC,Medium
99,89.0,31.0,104.0,3.0,0.52,0.29,66.0,91.0,2.0,2.0,3.0,1.96,75069.0,637.0,79.0,88.8320974598513,82.5006216006216,14.814814814814811,85.54123411094794,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,APAC,High
97,81.0,49.0,209.0,5.0,0.85,0.53,61.0,90.0,5.0,3.0,3.0,3.06,99778.0,745.0,86.0,80.94157229353083,83.36386946386945,29.629629629629623,80.57955030273578,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,ROW,High
90,48.0,93.0,33525.0,11.0,1.15,1.53,82.0,90.0,7.0,8.0,6.0,15.74,52785.0,1083.0,93.0,52.10810319315373,65.43294483294484,66.66666666666666,74.3378361176038,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,AMERICAS,Medium
85,44.0,87.0,35850.0,13.0,1.08,1.48,79.0,83.0,9.0,8.0,8.0,11.55,59371.0,1147.0,89.0,51.19210696559566,70.87202797202798,81.48148148148148,71.36723743795848,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,APAC,Medium
94,72.0,99.0,103598.0,8.0,3.48,2.83,85.0,76.0,8.0,9.0,9.0,24.62,21703.0,5063.0,90.0,34.43368778780916,50.58352758352758,85.18518518518518,70.4517907257332,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",ROW,High
95,49.0,94.0,76964.0,10.0,1.21,1.45,78.0,82.0,8.0,9.0,6.0,14.65,49673.0,998.0,92.0,53.65278260075386,69.25027195027194,74.07407407407408,75.42847391026383,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,EMEA,Medium
91,50.0,96.0,40050.0,10.0,1.08,1.48,81.0,90.0,7.0,7.0,6.0,15.25,50106.0,1088.0,96.0,52.84688142488865,67.28477078477079,62.96296296296296,74.64640849871103,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,EMEA,Medium
62,23.0,12.0,74533.0,25.0,1.95,1.52,28.0,59.0,8.0,7.0,7.0,1.5,30291.0,257.0,67.0,42.84706775646319,68.49417249417249,70.37037037037037,45.09647371476211,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,APAC,Medium
98,77.0,48.0,252.0,5.0,0.88,0.54,64.0,91.0,6.0,4.0,4.0,2.78,100650.0,782.0,85.0,80.189594204913,84.00777000777,40.74074074074074,81.56635797171954,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EU,High
86,41.0,86.0,52150.0,13.0,1.07,1.46,79.0,83.0,8.0,9.0,6.0,12.72,59942.0,1268.0,90.0,51.28211523571873,68.69930069930071,74.07407407407408,71.74874033250155,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,APAC,Medium
88,73.0,98.0,157790.0,7.0,3.67,3.13,83.0,72.0,8.0,10.0,9.0,24.33,20573.0,4938.0,91.0,28.149786268116205,49.146853146853154,88.88888888888889,65.55242519384066,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",AMERICAS,High
97,78.0,51.0,332.0,6.0,0.85,0.52,65.0,86.0,4.0,3.0,3.0,2.94,102220.0,740.0,84.0,78.91339711701195,83.99696969696969,25.925925925925924,81.06968899095419,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,ROW,High
100,88.0,34.0,179.0,3.0,0.56,0.3,69.0,96.0,2.0,3.0,4.0,2.5,76742.0,674.0,78.0,85.74805349388679,82.35167055167057,22.22222222222222,85.71181872286037,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,ROW,High
94,47.0,93.0,33532.0,10.0,1.15,1.47,80.0,91.0,9.0,7.0,6.0,14.4,51174.0,959.0,97.0,54.115903864388535,69.23589743589743,70.37037037037037,75.84056635253597,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,EMEA,Medium
96,84.0,47.0,355.0,5.0,0.72,0.47,59.0,90.0,5.0,3.0,3.0,3.05,102073.0,901.0,91.0,79.00162388620915,82.68329448329447,29.629629629629623,78.95056836017321,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,LATAM,High
87,50.0,95.0,31940.0,11.0,1.15,1.57,80.0,86.0,9.0,8.0,7.0,14.41,47587.0,975.0,89.0,50.73467359201038,67.51647241647241,77.77777777777777,72.20713575720363,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,ROW,Medium
82,41.0,89.0,69350.0,12.0,1.01,1.52,78.0,83.0,8.0,8.0,7.0,11.28,62593.0,1284.0,90.0,48.9310376027556,70.8965034965035,74.07407407407408,69.22586316096445,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,AMERICAS,Medium
99,80.0,51.0,230.0,5.0,0.73,0.5,62.0,85.0,4.0,4.0,4.0,3.07,98791.0,732.0,83.0,81.46843703078679,84.34444444444443,33.33333333333333,81.76395296077537,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,AMERICAS,High
100,78.0,47.0,157.0,5.0,0.92,0.53,58.0,90.0,4.0,3.0,3.0,2.77,100871.0,847.0,90.0,83.3728678806432,84.42719502719503,25.925925925925924,81.58050375822512,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,LATAM,High
94,51.0,96.0,40031.0,10.0,1.13,1.44,79.0,83.0,9.0,9.0,7.0,14.59,44696.0,1041.0,98.0,54.28621752608799,69.46682206682206,81.48148148148148,75.60017613413079,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,LATAM,Medium
94,42.0,94.0,46640.0,12.0,1.06,1.46,75.0,75.0,8.0,8.0,8.0,11.69,54650.0,1189.0,88.0,53.82144272840582,74.7000777000777,77.77777777777779,74.23750495494203,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,EU,Medium
90,47.0,97.0,41427.0,10.0,1.18,1.45,82.0,87.0,9.0,7.0,6.0,15.76,48866.0,1053.0,97.0,52.90721130726224,66.1940947940948,70.37037037037037,74.61752395754179,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,APAC,Medium
68,30.0,12.0,65985.0,25.0,2.05,1.57,32.0,63.0,8.0,9.0,6.0,1.86,30397.0,298.0,69.0,44.11621957699848,69.5948717948718,74.07407407407408,48.84067685194946,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,ROW,Medium
84,40.0,92.0,60408.0,12.0,1.06,1.43,76.0,77.0,9.0,8.0,7.0,12.01,57077.0,1087.0,88.0,50.90705291889594,70.67847707847709,77.77777777777777,70.01746852161358,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,LATAM,Medium
97,70.0,98.0,90587.0,8.0,3.58,3.13,83.0,76.0,8.0,10.0,10.0,25.43,21272.0,4976.0,93.0,31.44162544952012,49.71010101010101,92.5925925925926,69.85456890733204,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",APAC,High
90,52.0,99.0,25270.0,10.0,1.18,1.42,80.0,82.0,7.0,7.0,7.0,14.28,48512.0,1065.0,95.0,53.97945653268229,69.46899766899767,66.66666666666666,74.39280978643879,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,APAC,Medium
100,77.0,48.0,154.0,5.0,0.76,0.51,60.0,91.0,5.0,4.0,4.0,2.98,103323.0,737.0,85.0,83.75161654141137,84.21926961926961,37.03703703703703,82.31306578949398,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EMEA,High
100,85.0,32.0,104.0,2.0,0.47,0.3,64.0,95.0,3.0,2.0,3.0,1.83,78051.0,715.0,84.0,88.99741732517117,83.25314685314686,18.51851851851852,85.3490960638099,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,AMERICAS,High
96,81.0,50.0,201.0,5.0,0.74,0.51,61.0,90.0,5.0,4.0,4.0,2.6,99953.0,717.0,85.0,81.11030054468213,84.15742035742035,37.03703703703703,80.28860519063873,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,ROW,High
84,42.0,89.0,50911.0,11.0,0.92,1.38,77.0,82.0,7.0,8.0,8.0,11.34,60692.0,1224.0,90.0,51.78931544075751,71.37995337995339,74.07407407407408,70.62626040426511,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,APAC,Medium
82,48.0,93.0,29304.0,11.0,1.18,1.52,79.0,83.0,7.0,9.0,7.0,15.11,51095.0,966.0,93.0,50.02571079114803,64.25672105672106,74.07407407407406,69.9089987769018,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,LATAM,Medium
97,75.0,44.0,211.0,5.0,0.85,0.5,61.0,89.0,5.0,4.0,4.0,3.77,98647.0,753.0,93.0,81.29739643325253,80.98469308469308,37.03703703703703,80.7040887516384,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,APAC,High
93,50.0,97.0,32911.0,10.0,1.2,1.52,80.0,90.0,8.0,7.0,7.0,14.55,46054.0,1003.0,100.0,53.167630285574965,69.44452214452215,70.37037037037037,75.15867059995124,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,LATAM,Medium
100,92.0,30.0,141.0,3.0,0.5,0.3,65.0,93.0,2.0,2.0,3.0,1.6,73892.0,525.0,85.0,87.09052493489796,83.29992229992229,14.814814814814811,84.98168372721429,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,LATAM,High
95,50.0,96.0,25244.0,11.0,1.18,1.46,78.0,82.0,8.0,7.0,7.0,14.41,49673.0,995.0,86.0,54.94219552742803,70.1164724164724,70.37037037037037,75.87976843459981,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,EMEA,Medium
99,78.0,50.0,197.0,5.0,0.77,0.48,59.0,83.0,5.0,4.0,4.0,3.87,96646.0,743.0,87.0,82.51814829024636,82.5904428904429,37.03703703703703,81.23135190158624,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,AMERICAS,High
100,80.0,48.0,252.0,6.0,0.76,0.5,64.0,91.0,4.0,4.0,4.0,2.78,100650.0,782.0,85.0,81.32831474363356,84.60777000777001,33.33333333333333,82.66491016027173,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EMEA,High
95,42.0,87.0,37036.0,13.0,0.92,1.47,72.0,83.0,9.0,9.0,7.0,12.72,57467.0,1176.0,96.0,54.28380496080101,71.5993006993007,81.48148148148148,73.84933173628035,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,EU,Medium
100,91.0,33.0,122.0,2.0,0.5,0.29,68.0,91.0,1.0,2.0,3.0,2.02,77375.0,549.0,85.0,88.10276130513182,83.08407148407149,11.11111111111111,86.23596645679612,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,LATAM,High
96,82.0,50.0,154.0,5.0,0.85,0.5,60.0,90.0,5.0,3.0,4.0,3.22,96860.0,862.0,86.0,82.6862966760915,82.95306915306915,33.33333333333333,80.540203836632,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,APAC,High
73,30.0,12.0,31602.0,26.0,1.96,1.4,30.0,56.0,9.0,7.0,6.0,1.42,31018.0,171.0,70.0,48.83865957147003,71.94957264957264,70.37037037037037,51.64353085001451,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,LATAM,Medium
85,38.0,87.0,52407.0,12.0,0.92,1.47,75.0,81.0,9.0,9.0,7.0,12.45,56902.0,1222.0,97.0,50.84136711795362,69.12377622377623,81.48148148148148,70.04447849128377,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,APAC,Medium
99,83.0,49.0,275.0,6.0,0.81,0.5,65.0,89.0,5.0,3.0,5.0,3.18,100778.0,819.0,92.0,80.62068365560053,83.73076923076923,37.03703703703704,82.3672392794602,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,APAC,High
100,80.0,50.0,230.0,5.0,0.73,0.49,60.0,85.0,5.0,5.0,4.0,3.07,98791.0,732.0,83.0,81.90311716546692,84.44444444444444,40.74074074074074,81.66609100791342,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EU,High
90,48.0,99.0,42997.0,10.0,1.21,1.52,76.0,82.0,9.0,7.0,7.0,14.94,48860.0,978.0,86.0,51.9166721326713,68.18694638694639,74.07407407407406,72.47083524643494,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,LATAM,Medium
88,71.0,97.0,99557.0,8.0,3.6,3.02,83.0,73.0,9.0,9.0,10.0,25.68,19707.0,5063.0,94.0,30.118382466360792,46.32447552447553,92.5925925925926,66.24143386322628,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",AMERICAS,High
97,77.0,48.0,250.0,5.0,0.72,0.5,61.0,90.0,5.0,4.0,4.0,3.39,100328.0,741.0,87.0,80.46613481976257,82.52284382284381,37.03703703703703,80.4131471869169,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,AMERICAS,High
100,88.0,29.0,133.0,3.0,0.52,0.29,66.0,98.0,2.0,2.0,3.0,1.76,75226.0,663.0,82.0,87.57327110078923,82.78912198912198,14.814814814814811,85.45064488527623,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,LATAM,High
84,41.0,86.0,52150.0,13.0,1.06,1.48,77.0,78.0,7.0,9.0,8.0,12.72,59942.0,1268.0,90.0,50.412754966358456,68.0993006993007,77.77777777777777,70.14446423822545,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,LATAM,Medium
62,23.0,12.0,74533.0,25.0,1.99,1.52,32.0,60.0,7.0,8.0,6.0,1.5,30291.0,257.0,67.0,42.84706775646319,68.49417249417249,66.66666666666666,46.29647371476211,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,APAC,Medium
100,81.0,50.0,201.0,5.0,0.85,0.53,60.0,89.0,6.0,3.0,4.0,2.6,99953.0,717.0,85.0,82.04094027532187,85.35742035742035,37.03703703703704,81.71432909636265,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EMEA,High
86,50.0,96.0,25270.0,11.0,1.15,1.56,76.0,82.0,8.0,8.0,7.0,14.28,48512.0,1065.0,95.0,50.8939346471604,67.66899766899768,74.07407407407408,70.71287712650613,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,AMERICAS,Medium
98,77.0,46.0,169.0,5.0,0.78,0.5,58.0,87.0,6.0,4.0,5.0,2.82,96624.0,825.0,90.0,82.76670427009624,83.53006993006991,44.44444444444444,80.66834649453367,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,LATAM,High
99,81.0,52.0,242.0,5.0,0.79,0.53,60.0,90.0,5.0,4.0,4.0,3.14,103063.0,782.0,88.0,80.81758297933277,84.40846930846931,37.03703703703703,80.93615404276646,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,AMERICAS,High
84,36.0,94.0,40250.0,13.0,0.92,1.52,79.0,78.0,9.0,9.0,6.0,11.84,60648.0,1118.0,96.0,50.20170226409086,71.40870240870241,77.77777777777777,70.6705957924318,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,LATAM,Medium
86,50.0,95.0,31940.0,10.0,1.17,1.46,83.0,86.0,7.0,7.0,7.0,14.41,47587.0,975.0,89.0,51.91615507349188,67.21647241647241,66.66666666666666,73.17065427572216,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,EU,Medium
90,48.0,93.0,33525.0,11.0,1.18,1.43,80.0,90.0,8.0,7.0,7.0,15.74,52785.0,1053.0,97.0,53.45490453995507,65.43294483294484,70.37037037037037,74.20921658898428,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,APAC,Medium
100,82.0,53.0,291.0,5.0,0.78,0.5,59.0,93.0,5.0,4.0,4.0,2.81,97201.0,880.0,85.0,80.66334857772384,85.54949494949494,37.03703703703703,80.93217200220334,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EU,High
97,76.0,51.0,332.0,6.0,0.79,0.53,60.0,86.0,5.0,3.0,4.0,2.94,102220.0,740.0,84.0,78.77871698233182,83.99696969696969,33.33333333333333,79.52255094381613,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,LATAM,High
95,71.0,97.0,90587.0,8.0,3.58,3.15,83.0,76.0,8.0,9.0,8.0,25.43,21272.0,4976.0,93.0,30.572265180159835,48.91010101010101,81.48148148148148,68.85029281305593,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",AMERICAS,High
94,87.0,36.0,171.0,2.0,0.47,0.29,67.0,91.0,3.0,3.0,3.0,1.23,76655.0,523.0,78.0,84.33052792003426,83.41864801864801,22.22222222222222,82.515684772012,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,APAC,High
90,48.0,94.0,76964.0,10.0,1.15,1.52,75.0,82.0,9.0,7.0,6.0,14.65,49673.0,998.0,92.0,51.21002165799292,67.75027195027195,70.37037037037037,71.92350758029752,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,EMEA,Medium
87,44.0,87.0,35850.0,13.0,1.06,1.41,74.0,83.0,9.0,8.0,8.0,11.55,59371.0,1147.0,89.0,52.7348679083566,71.47202797202797,81.48148148148148,71.10720376792482,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,LATAM,Medium
73,30.0,12.0,31602.0,25.0,2.05,1.48,31.0,56.0,8.0,7.0,7.0,1.42,31018.0,171.0,70.0,47.76121849402896,71.94957264957264,70.37037037037037,51.56642647291013,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,EMEA,Medium
94,50.0,96.0,40050.0,10.0,1.21,1.53,79.0,90.0,8.0,7.0,6.0,15.25,50106.0,1088.0,96.0,53.07348075148796,68.18477078477079,66.66666666666666,75.17571826302078,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,ROW,Medium
97,73.0,98.0,157790.0,8.0,3.48,2.8,85.0,73.0,9.0,10.0,10.0,24.33,20573.0,4938.0,91.0,35.29423071256065,51.84685314685316,96.29629629629628,71.80298074939621,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",APAC,High
98,77.0,48.0,250.0,6.0,0.72,0.48,61.0,90.0,4.0,4.0,5.0,3.39,100328.0,741.0,87.0,81.03549508912285,82.82284382284382,37.03703703703704,80.96242328119298,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EU,High
100,88.0,29.0,133.0,2.0,0.5,0.3,66.0,98.0,1.0,3.0,2.0,1.76,75226.0,663.0,82.0,87.43859096610909,82.78912198912198,11.11111111111111,85.40350683813817,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,AMERICAS,High
92,48.0,99.0,42997.0,10.0,1.15,1.38,80.0,82.0,8.0,8.0,7.0,14.94,48860.0,978.0,86.0,54.40219401819319,68.7869463869464,74.07407407407408,75.24076790636762,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,AMERICAS,Medium
